,date,rating,title,review
5,дек. 2019 г.,"3,0 из 5 кружков",Непременно стоит прокатиться.,"Аттракцион, который однозначно стоит посетить. Открывается красивый вид на город. Полный круг занимает порядка 20-25 минут. Конструкция очень устойчивая, ни малейших колебаний во время движения. Поэтому даже те, кто боится высоты, чувствуют себя здесь комфортно. Почему не поставили отлично? Ограничение по времени и небольшое пространство не позволяют в полной мере насладиться красивыми видами. В этом смысле Эйфелева башня в Париже понравилась больше."
6,янв. 2020 г. • Для двоих,"4,0 из 5 кружков","Все ок, но дорого.","Очереди не было, отличный вид на Лондон конечно же, но 30 фунтов за человека за 10-минутную «поездку» как-то дороговато... "
7,дек. 2019 г. • Для двоих,"4,0 из 5 кружков",Просто колесо обозрения ,"Один из обязательных пунктов туристической программы и именно поэтому здесь всегда длинные очереди, даже если билеты куплены заранее и на определенное время. Из-за этого создаётся путаница в какую очередь вставать - в свою или fast track, учитывая что вроде как должен идти по быстрому пути, но нет. Fast track - это только для тех, кто купил именно эту услугу, остальным - стоять со всеми, где в одной длинной очереди рядом будут стоять посетители с разницей в час и более (кто-то опоздал, кто-то сильно заранее пришёл раньше, а кто-то к своему времени). В итоге из-за этой неразберихи остальные планы на день были разрушены. Про само колесо и вид - нам повезло, погода стояла солнечная и вид был отличным, но всё равно это всего лишь колесо обозрения, ничего особенного."
8,сент. 2019 г. • С друзьями,"4,0 из 5 кружков",Лондонский глаз,"Наверно самый популярный аттракцион в Лондоне. Билеты можно купить заранее на сайте, сэкономив несколько фунтов. При этом всегда можно купить билет непосредственно в кассах, много автоматов самообслуживания. Если вы впервые в Лондоне, прокатиться на London Eye, безусловно, стоит.  Колесо делает полный круг минут за 25-30. На мой взгляд, это не самая впечатляющая смотровая Лондона, вид с купола St. Paul’s Cathedral масштабнее, но с верхней точки открывается прекрасный вид на центр города на 360 градусов (хотя Биг Бен и Парламент, к сожалению, в лесах). На закате в ясный день выглядит особенно красиво. "
9,дек. 2019 г. • Путешествие в одиночку,"5,0 из 5 кружков","Как всегда, просто необходимо ","Очередь идёт очень быстро,  билет стоит 30£, зрелище замечательное, особенно на закате. Необходимо посетить)"
0,авг. 2023 г. • Семейный отдых,"5,0 из 5 кружков",Лондон с Высоты птичьего полета,"Мы забронировали билеты заранее. Прошли очень быстро. Также купили заранее детские бинокли. Вся поездка заняла примерно 30 минут. Дети были в восторге. Я боюсь высоты, но в этих кабинках мне было комфортно и не страшно. Лондон с высоты - это Незабываемое зрелище.Советуем всем"
1,апр. 2022 г. • Семейный отдых,"5,0 из 5 кружков",Обязательно к посещению,"Если вы собираетесь в Лондон то просто обязаны посетить эту атракцию. Во первых это действительно интересно и даёт обзор на всю красотуИ во вторых это одна из главных достопримечательностей современности.Маленькая рекомендация. Покупайте билеты заранее и ещё лучше с быстрым входом- fast track.  Это не намного дороже по деньгам но экономит очень много времени.Колесо начинает работать с 11Мы купили билет на 11.15В 10 сели на кораблик от причала у колеса. До тауэрского моста и обратно и- сразу на колесо.Даже с быстрым входом , минут 15 заняло дойти до кабинки. Оборот колеса 30 минут. Так что час минимум на посещение. Фото получаются просто супер. Ощущения и впечатления просто вау "
2,март 2021 г.,"5,0 из 5 кружков","Красиво, дух захватывает!","Это знаковое  место, однознчно к посещению. В кабине комфортно и чисто, стёкла тоже не грязные, обзор невероятный. Понимаешь, на сколько ты песчинка в этом урбанистическом пейзаже!"
3,дек. 2021 г. • Семейный отдых,"5,0 из 5 кружков",Великолепно!,"Кабины большие,билеты с боль чистые,отапливыемые, все из стекла,обозрение 360 градусов. Город как на ладони!Билеты купили с большой скидкой т.к. при покупке тура по городу в BIG BUS есть скидка. Вместо 30 с чем то евро заплатили по 11 на взрослого."
4,авг. 2021 г.,"5,0 из 5 кружков","Одно из мест Лондона, которое обязательно стоит посетить","Потрясающий вид на город, но важно что бы была хорошая погода. Мы с дочкой получили массу удовольствия. Рекомендую"
5,авг. 2021 г.,"5,0 из 5 кружков",Виден практически весь Лондон,"Колесо обозрения «Лондонский глаз» (London Eye) - одна из самых известных достопримечательностей. Но даже тем, кто не любит ""попсовые туристические достопримечательности"" стоит все таки его посетить. Высота колеса 135 метров, а с верхней точки виден практически весь Лондон. У колеса обозрения 32 капсулы на 25 человек каждая. Полный оборот колесо делает за 30 минут. Стандартный билет через сайт вам обойдется в 24,5 фунтов (в кассе 31)."
6,авг. 2020 г.,"5,0 из 5 кружков",Виден практически весь Лондон,"Колесо обозрения «Лондонский глаз» (London Eye) - одна из самых известных достопримечательностей. Но даже тем, кто не любит ""попсовые туристические достопримечательности"" стоит все таки его посетить. Высота колеса 135 метров, а с верхней точки виден практически весь Лондон. У колеса обозрения 32 капсулы на 25 человек каждая. Полный оборот колесо делает за 30 минут. Стандартный билет через сайт вам обойдется в 24,5 фунтов (в кассе 31)."
7,февр. 2020 г.,"5,0 из 5 кружков",Потрясающе,Когда поднимаешься в закрытой кабине на такую высоту дух захватывает от красоты Лондона. Потрясающие виды и ощущения. Обязательно стоит посетить!
8,март 2020 г. • С друзьями,"5,0 из 5 кружков",Вид супер,"Я очень боюсь высоты и для меня было целое испытание, но не пойти не могла) просторные кабинки, все видно, надежная конструкция и просто незабываемый вид! Нервы пощекотала я себе реально. Фаст трек вещь хорошая, прошли мимо очереди) заранее не покупали, все в кассе."
9,февр. 2020 г.,"5,0 из 5 кружков",#LondonEye,"Крупнейшее в Европе и одно из крупнейших в мире колесо обозрения.Говорят, British Airways (владели около 30%), проспонсировавшие проект, зарабатывали на нем больше, чем на собственных полетах !"
0,дек. 2019 г.,"4,0 из 5 кружков",Колесо было многоглазо...)),"Мое впечатление и мнение - если у вас на город времени мало, скажем один день, то стремиться попасть на колесо обозрения не стоит. Если времени больше, то можно полюбопытствовать. Стоимость в автомате непосредственно у колеса - 30 тугров. Лучше будет выбрать несколько объектов для посещения и купить заранее через инет - экономия выйдет приличной.Что непосредственно по осмотру окрестностей - в конце декабря в полдень очереди не было, люди подходили, предъявляли билеты и шли к кабинкам. В нашу усадили человек 12-15. Погода была дождливой, но для нас явила милость, минут за 30 до поездки хмарь ушла и даже чутка солнце поблестело)) Условия для осмотра-съемок были приемлемыми, стекла кабинки кадры не портили. Ахать и охать по поводу данного аттракциона я не буду, посмотреть и поснимать прикольно, но не более."
1,окт. 2019 г. • С друзьями,"5,0 из 5 кружков",На один раз,"Бесспорно стоит посетить. Но есть нюансы: не все стёкла, видимо, проходят обработку антивода(( нам повезло.. за наш круг были и дождь и солнце.. благодаря нашей внимательности, нам повезло со стеклом, а следовательно и с видами))Фасттрек не дешевое удовольствие.. но если вы на три дня и планы Ваши «наполеоновские».. то стоит не жадничать.. либо сэкономить и отказаться в эту поездку от стояния в длинной очереди.. фото выложила как с одного типа стёкол, так и другого) если разницы не увидите, значит это только мои тараканы;))"
2,февр. 2020 г.,"4,0 из 5 кружков",Дорого и красиво,"Полная цена за билет составляет 30 фунтов, но из кабинки открывается потрясающий вид на Лондон. Рекомендую посетить это место в закат. "
3,февр. 2020 г. • Семейный отдых,"5,0 из 5 кружков",Супер! ,"Все остались довольны! Дети особенно, огромное колесо произвело на них незабываемое впечатление! Рекомендую, каждый должен прокатиться хотя бы раз!"
4,февр. 2020 г.,"5,0 из 5 кружков",В утренне время в Лондоне!,"Потрясающий вид, удивительная конструкция.Открывается в 11:00, не пожалейте доплатить фаст лайн.  Приходить лучше к открытию, людей меньше. "
5,дек. 2019 г.,"3,0 из 5 кружков",Непременно стоит прокатиться.,"Аттракцион, который однозначно стоит посетить. Открывается красивый вид на город. Полный круг занимает порядка 20-25 минут. Конструкция очень устойчивая, ни малейших колебаний во время движения. Поэтому даже те, кто боится высоты, чувствуют себя здесь комфортно. Почему не поставили отлично? Ограничение по времени и небольшое пространство не позволяют в полной мере насладиться красивыми видами. В этом смысле Эйфелева башня в Париже понравилась больше."
6,янв. 2020 г. • Для двоих,"4,0 из 5 кружков","Все ок, но дорого.","Очереди не было, отличный вид на Лондон конечно же, но 30 фунтов за человека за 10-минутную «поездку» как-то дороговато... "
7,дек. 2019 г. • Для двоих,"4,0 из 5 кружков",Просто колесо обозрения ,"Один из обязательных пунктов туристической программы и именно поэтому здесь всегда длинные очереди, даже если билеты куплены заранее и на определенное время. Из-за этого создаётся путаница в какую очередь вставать - в свою или fast track, учитывая что вроде как должен идти по быстрому пути, но нет. Fast track - это только для тех, кто купил именно эту услугу, остальным - стоять со всеми, где в одной длинной очереди рядом будут стоять посетители с разницей в час и более (кто-то опоздал, кто-то сильно заранее пришёл раньше, а кто-то к своему времени). В итоге из-за этой неразберихи остальные планы на день были разрушены. Про само колесо и вид - нам повезло, погода стояла солнечная и вид был отличным, но всё равно это всего лишь колесо обозрения, ничего особенного."
8,сент. 2019 г. • С друзьями,"4,0 из 5 кружков",Лондонский глаз,"Наверно самый популярный аттракцион в Лондоне. Билеты можно купить заранее на сайте, сэкономив несколько фунтов. При этом всегда можно купить билет непосредственно в кассах, много автоматов самообслуживания. Если вы впервые в Лондоне, прокатиться на London Eye, безусловно, стоит.  Колесо делает полный круг минут за 25-30. На мой взгляд, это не самая впечатляющая смотровая Лондона, вид с купола St. Paul’s Cathedral масштабнее, но с верхней точки открывается прекрасный вид на центр города на 360 градусов (хотя Биг Бен и Парламент, к сожалению, в лесах). На закате в ясный день выглядит особенно красиво. "
9,дек. 2019 г. • Путешествие в одиночку,"5,0 из 5 кружков","Как всегда, просто необходимо ","Очередь идёт очень быстро,  билет стоит 30£, зрелище замечательное, особенно на закате. Необходимо посетить)"
