,date,rating,title,review
0,июль 2022 г. • Семейный отдых,"5,0 из 5 кружков",Королевский дворец,"Букингемский дворец поистине королевский!Один из немногих действующих двлрцов в европе. Убранства комнат, если их так можно назвать, величественны. Каджая комната или точнее зал, выполнены в неподражаемим стиле.С середины июля до начала октября (нужно уточнить на сайте), гостевые комнаты открыты для посетителей.Стоит также посмотреть на смену караула (время тоже надо уточнить на сайте) стоит прийти минимум за час до начала чтобы занять места.Зрелище потрясающее. "
1,сент. 2020 г.,"5,0 из 5 кружков",Официальная резиденция Ее Величества королевы в Лондоне,"Букингемский дворец - действующий королевский дворец, официальная резиденция королевы в Лондоне с 1837 года, построенный в 1762 году. Во дворце 775 комнат, в августе-сентябре, во время отъезда королевы, он становится доступным для посетителей, но только малая часть. Про роскошь внутреннего убранства говорить даже и не стоит. Комплексный билет ""Королевский день"" (парадные залы, Королевские конюшни и Галерея Королевы, Букингемский дворец) для взрослого стоит 39,5 фунтов.  При первом посещении билет можно проштамповать, и тогда он будет действителен для повторных посещений в течение одного года.Королевские конюшни открыты для посещение круглогодично, в экспозиции представлены королевские виды транспорта, в том числе золотая карета для коронаций и прозрачная карета для невест. Вход в конюшни для взрослых стоит 9 фунтов. Отдельным и бесплатным ""представлением"" является смена караула у Букингемского дворца.Во дворце есть сувенирный магазин, который специализируется на продаже товаров из ""Королевской коллекции"", которые идентичны тем, которыми пользуются в повседневной жизни дворца."
2,февр. 2020 г.,"4,0 из 5 кружков",Красные ткани - самые дешевые!)),"Честно говоря, не сильно впечатлен, хотя посетить сей дворец следует. Почему не впечатлен? Тут все просто - проживая в Царском Селе и во время прогулок любуясь Екатерининским дворцом, периодически гуляя по его залам, сложно восторгаться Букингемским. Да и Зимнему дворцу Букингемский не соперник, хотя по размерам побольше будет. Но это я так, чутка на британскую спесь побрызгал, чтобы не топорщилась))) А вообще все красиво и строго. Возрастом замок не древний, разменял четвертый век. Хотя при постройке был совсем небольшим, лишь в 19-ом веке к нему были пристроены 3 крыла, включая нынешний фасад. В том же веке он стал королевской резиденцией и, что интересно, первый большой королевский прием организовали в честь окончания Восточной(у нас она Крымская) войны.Что еще....Прикольно смотреть на гвардейцев-охранников. Сутулые, нескладные, строевой шаг - полный отстой)) Зрелище типа цирка бесплатного. Кто служил, тот поймет! Интересный факт про цвет формы - в то время, когда была создана форма, красный был одним из самых дешевых красителей для производства и, таким образом, спас королевскую семью от расходов на одежду охранников. Так что, тут все по честному - как вы нас нарядили, так мы вас представляем миру)))"
3,сент. 2019 г.,"5,0 из 5 кружков",Букенгемский дворец ,"Мы были осенью и дворец был закрыт для посетителей. Поэтому мы могли лицезреть его только от ворот. Но величие, порядок и красота впечатляет даже не заходя в него. А тот факт, что это действующая резиденция королевской семьи как-то завораживает."
4,июнь 2019 г.,"5,0 из 5 кружков","Ах, как маршируют гвардейцы.","Ах, как маршируют гвардейцы.Как ножкой притопывают во время смены караула! Удивило количество детских групп на экскурсии. Все дети одеты в желтые жилеты, чтобы их не потеряли групповоды . Вот вам  и желтые жилеты на новый лад."
5,сент. 2019 г.,"5,0 из 5 кружков","Дом,где живет королева Великобритании Елизавета II,надо увидеть!","Мы посетили Букингемский дворец 29 сентября,в последний из дней,когда дворец открыт для туристов.Очень довольны и впечатлены! В стоимость билета входит мультимедийный гид, который есть, в том числе и на русском языке!Во дворце запрещено фотографировать.Если вы с детьми, то на выходе из дворца есть  «королевская» детская комната, где можно порисовать, отдохнуть в мягкой зоне и сделать фотографии с картонными представителями королевской семьи. Также есть возможность использовать купленный билет во дворец несколько раз (при наличии удостоверения личности при повторном визите). Билет действителен 1 год, и его  надо отметить  его на выходе.Фотографировать без ограничений можно в королевском саду,там же покормить белок и птиц.Да,еще и сувенирный  магазин Букингемского дворца тоже обязателен к посещению!"
6,сент. 2019 г.,"5,0 из 5 кружков",Достойное место.,"Попали сюда в момент, когда было какое-то прохождение строем гвардейцев, народу собралась туча,но как-то всё весело и не напряжённо. Жаль дождь немного всё подпортил. А так впечатления великолепные!"
7,сент. 2019 г.,"2,0 из 5 кружков",Не советую к посещению,"Купили с мужем электронный билет, чтобы не стоять в очереди. Пришли, как указанно в билете, за 20 минут до начала экскурсии. оказалось, что его необходимо обменять на бумажный билет. Еле успели к обозначенному времени. Пускают для осмотра только в 14 комнат из 775. Очень скромная обстановка. Есть более достойные места для посещения."
8,июнь 2019 г. • Бизнес,"5,0 из 5 кружков",Обязателен к посещению ,"Букингемский дворец - резиденция Королевы Соединенного королевства Елизаветы 2) быть в Лондоне, пусть даже и на 2 дня, и не побывать рядом с такой легендарной достопримечательностью просто невозможно) ♦️дворец, конечно, бесподобный) очень монументальный и красивый) ✅на самом деле он намного меньше, чем кажется по фотографиям) но это не портит его) ✅прекрасно расположение дворца- в самом центре Лондона рядом с парком святого Джеймса ✅и везде много-много британских флагов - красота🇬🇧🇬🇧🇬🇧🇬🇧 ➖правда не удалось увидеть смену караула в их известных нарядах с медвежьими шапками, поскольку летом им жарко) сходить и посмотреть на дворец я всем рекомендую, вызывает прекрасные эмоции) "
9,авг. 2019 г.,"5,0 из 5 кружков",Советую посетить,"19 залов дворца открыты всего 2,5 месяца в году, когда королева уезжает на отдых в Шотландию, поэтому покупать билеты лучше заранее. К билету выдается аудио гид (был и на русском). Залы богато декорированы, золота много. Запомнилась картинная галерея, с шедеврами мировой живописи. На выходе из дворца в парк есть сувенирный магазин и большое кафе.  В парке у озера - палатка с мороженным. Советую попробовать: очень вкусное."
0,авг. 2019 г.,"5,0 из 5 кружков",Попасть не реально,"Очередь за час до открытия была как в Мавзолей при советской власти. Но сам дворец прекрасен , монумент королевы Виктории впечатляет ,развод караула - туристическое шоу .Прекрасный парк с лебедями и утками.Даже если не посвящать день стоянию в очереди - вокруг тоже интересно."
1,авг. 2019 г.,"5,0 из 5 кружков",Прекрасное место,"Дворец располагает к тому, что монархи Англии живут достаточно скромно. Понравилась дворцовая площадь и Парк который рядом через дорогу . Много туристов, большие очереди, которые очень быстро ""идут"" Рекомендую. "
2,авг. 2019 г. • Семейный отдых,"5,0 из 5 кружков",Комнаты королевы и развод караула у Букенгемского дворца,"Красиво и уютно внутри, аудиогид все подробно рассказывает. Внутри нельзя есть и пить, придти лучше заранее,так как досмотр вещей на входе.но все спокойно. Если вы с чемоданом ручной клади,его можно тут оставить на время экскурсии. После экскурсии в саду кафе, туалеты, магазин сувениров. Всюду вайфай.билеты брали на сайте . Развод караула пришли смотреть в воскресенье.уже в 10 утра были толпы,а начало в 11... Не очень понятно,пока,что увидим. Смотрим вот и пишем этот отзыв!"
3,авг. 2019 г. • Семейный отдых,"5,0 из 5 кружков",Роскошный дворец!,"С удовольствием провели время во дворце! Билеты забронировал на официальном сайте на 10:00. Туристов много, но толкучки нет. Был забронирован индивидуальный гид, однако возникли проблемы и он не подъехал, поэтому взяли аудиогид и не пожалели, рассказ интересный и все по делу. Детям 11 и 6 лет тоже понравилось. Интерьеры, парк, история дворца, а особенно то, что он действующий - это завораживает! Однозначно рекомендую! “Must see”"
4,июнь 2019 г. • Путешествие в одиночку,"4,0 из 5 кружков",Смена караула не впечатлила,"Без сомнения увидеть Букингемский дворец своими глазами стоит. Планировала расписание специально, чтобы посмотреть на смену караула. Должна предупредить, что действие оказалось очень затянутым. Особенно для тех кому не хватило места у ограждения дворца. По большей части народ просто стоял по 15-20 минут в ожидании прохода войск. Поэтому потратить время на смену караула стоит разве что за возможность увидеть настоящую королевскую гвардию)))Сам дворец посещать не стала, так как не было достаточно времени."
5,июль 2019 г. • С друзьями,"5,0 из 5 кружков",Ничего не увидели,"Просмотрели развод караула, который приходится на пн ср пт вс. Опять таки толпы туристов. Во дворец не пускали. Периодически караул разминался. Королева была в резиденции. "
6,май 2019 г. • Путешествие в одиночку,"5,0 из 5 кружков",Выставка рисунков Леонардо да Винчи,"В это лето в Лондоне в Галерее Королевы проходит выставка рисунков Леонардо да Винчи.Десятки рисунков из разных коллекций демонстрируют бесконечные интересы великого гения Возрождения.Ландшафтный дизайн,медицина и анатомия,картография,садоводство,военное дело,живопись-вот неполный список его увлечений! А портреты!!! Это просто фантастика!!!!"
7,апр. 2019 г. • Семейный отдых,"5,0 из 5 кружков",Букингемский дворец и окрестности,"Великолепие дворца впечатляет. Всячески рекомендую прогулку от Букингемского дворца к Парламенту а потом к Трафальгарской площади. Прогулка займет около 2 часов, но для любителей фотосессий -будет продуктивной. Очень много прекрасных уголков по пути могут быть использованы для пополнения вашего фотоальбома В данный момент Биг Бэн находится на ремонте и все в лесах, поэтому фотографии не выйдут. Завтра то есть 20 апреля будет Пасхальное представление на Трафальгарской площади. Я не стану размещать много фотографий-наслаждайтесь сами своим виденеием!"
8,окт. 2018 г. • С друзьями,"5,0 из 5 кружков",Букингемский дворец,"Супер памятник старины. Гренадёры в мохнатых шапках, позолота на воротах и 30-сантиметровые шипы на заборе по периметру. Если на флагштоке поднят флаг - значит королева во дворце и ворота закрыты. Если нет, можно побывать во дворе."
9,авг. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",Прогулка.,"С интересом посетил этот символ британской столицы.Весьма гуманный ценник,есть аудиогид на русском.Экскурсия довольно длительная(около двух часов),надо иметь ввиду."
0,июль 2022 г. • Семейный отдых,"5,0 из 5 кружков",Королевский дворец,"Букингемский дворец поистине королевский!Один из немногих действующих двлрцов в европе. Убранства комнат, если их так можно назвать, величественны. Каджая комната или точнее зал, выполнены в неподражаемим стиле.С середины июля до начала октября (нужно уточнить на сайте), гостевые комнаты открыты для посетителей.Стоит также посмотреть на смену караула (время тоже надо уточнить на сайте) стоит прийти минимум за час до начала чтобы занять места.Зрелище потрясающее. "
1,сент. 2020 г.,"5,0 из 5 кружков",Официальная резиденция Ее Величества королевы в Лондоне,"Букингемский дворец - действующий королевский дворец, официальная резиденция королевы в Лондоне с 1837 года, построенный в 1762 году. Во дворце 775 комнат, в августе-сентябре, во время отъезда королевы, он становится доступным для посетителей, но только малая часть. Про роскошь внутреннего убранства говорить даже и не стоит. Комплексный билет ""Королевский день"" (парадные залы, Королевские конюшни и Галерея Королевы, Букингемский дворец) для взрослого стоит 39,5 фунтов.  При первом посещении билет можно проштамповать, и тогда он будет действителен для повторных посещений в течение одного года.Королевские конюшни открыты для посещение круглогодично, в экспозиции представлены королевские виды транспорта, в том числе золотая карета для коронаций и прозрачная карета для невест. Вход в конюшни для взрослых стоит 9 фунтов. Отдельным и бесплатным ""представлением"" является смена караула у Букингемского дворца.Во дворце есть сувенирный магазин, который специализируется на продаже товаров из ""Королевской коллекции"", которые идентичны тем, которыми пользуются в повседневной жизни дворца."
2,февр. 2020 г.,"4,0 из 5 кружков",Красные ткани - самые дешевые!)),"Честно говоря, не сильно впечатлен, хотя посетить сей дворец следует. Почему не впечатлен? Тут все просто - проживая в Царском Селе и во время прогулок любуясь Екатерининским дворцом, периодически гуляя по его залам, сложно восторгаться Букингемским. Да и Зимнему дворцу Букингемский не соперник, хотя по размерам побольше будет. Но это я так, чутка на британскую спесь побрызгал, чтобы не топорщилась))) А вообще все красиво и строго. Возрастом замок не древний, разменял четвертый век. Хотя при постройке был совсем небольшим, лишь в 19-ом веке к нему были пристроены 3 крыла, включая нынешний фасад. В том же веке он стал королевской резиденцией и, что интересно, первый большой королевский прием организовали в честь окончания Восточной(у нас она Крымская) войны.Что еще....Прикольно смотреть на гвардейцев-охранников. Сутулые, нескладные, строевой шаг - полный отстой)) Зрелище типа цирка бесплатного. Кто служил, тот поймет! Интересный факт про цвет формы - в то время, когда была создана форма, красный был одним из самых дешевых красителей для производства и, таким образом, спас королевскую семью от расходов на одежду охранников. Так что, тут все по честному - как вы нас нарядили, так мы вас представляем миру)))"
3,сент. 2019 г.,"5,0 из 5 кружков",Букенгемский дворец ,"Мы были осенью и дворец был закрыт для посетителей. Поэтому мы могли лицезреть его только от ворот. Но величие, порядок и красота впечатляет даже не заходя в него. А тот факт, что это действующая резиденция королевской семьи как-то завораживает."
4,июнь 2019 г.,"5,0 из 5 кружков","Ах, как маршируют гвардейцы.","Ах, как маршируют гвардейцы.Как ножкой притопывают во время смены караула! Удивило количество детских групп на экскурсии. Все дети одеты в желтые жилеты, чтобы их не потеряли групповоды . Вот вам  и желтые жилеты на новый лад."
5,сент. 2019 г.,"5,0 из 5 кружков","Дом,где живет королева Великобритании Елизавета II,надо увидеть!","Мы посетили Букингемский дворец 29 сентября,в последний из дней,когда дворец открыт для туристов.Очень довольны и впечатлены! В стоимость билета входит мультимедийный гид, который есть, в том числе и на русском языке!Во дворце запрещено фотографировать.Если вы с детьми, то на выходе из дворца есть  «королевская» детская комната, где можно порисовать, отдохнуть в мягкой зоне и сделать фотографии с картонными представителями королевской семьи. Также есть возможность использовать купленный билет во дворец несколько раз (при наличии удостоверения личности при повторном визите). Билет действителен 1 год, и его  надо отметить  его на выходе.Фотографировать без ограничений можно в королевском саду,там же покормить белок и птиц.Да,еще и сувенирный  магазин Букингемского дворца тоже обязателен к посещению!"
6,сент. 2019 г.,"5,0 из 5 кружков",Достойное место.,"Попали сюда в момент, когда было какое-то прохождение строем гвардейцев, народу собралась туча,но как-то всё весело и не напряжённо. Жаль дождь немного всё подпортил. А так впечатления великолепные!"
7,сент. 2019 г.,"2,0 из 5 кружков",Не советую к посещению,"Купили с мужем электронный билет, чтобы не стоять в очереди. Пришли, как указанно в билете, за 20 минут до начала экскурсии. оказалось, что его необходимо обменять на бумажный билет. Еле успели к обозначенному времени. Пускают для осмотра только в 14 комнат из 775. Очень скромная обстановка. Есть более достойные места для посещения."
8,июнь 2019 г. • Бизнес,"5,0 из 5 кружков",Обязателен к посещению ,"Букингемский дворец - резиденция Королевы Соединенного королевства Елизаветы 2) быть в Лондоне, пусть даже и на 2 дня, и не побывать рядом с такой легендарной достопримечательностью просто невозможно) ♦️дворец, конечно, бесподобный) очень монументальный и красивый) ✅на самом деле он намного меньше, чем кажется по фотографиям) но это не портит его) ✅прекрасно расположение дворца- в самом центре Лондона рядом с парком святого Джеймса ✅и везде много-много британских флагов - красота🇬🇧🇬🇧🇬🇧🇬🇧 ➖правда не удалось увидеть смену караула в их известных нарядах с медвежьими шапками, поскольку летом им жарко) сходить и посмотреть на дворец я всем рекомендую, вызывает прекрасные эмоции) "
9,авг. 2019 г.,"5,0 из 5 кружков",Советую посетить,"19 залов дворца открыты всего 2,5 месяца в году, когда королева уезжает на отдых в Шотландию, поэтому покупать билеты лучше заранее. К билету выдается аудио гид (был и на русском). Залы богато декорированы, золота много. Запомнилась картинная галерея, с шедеврами мировой живописи. На выходе из дворца в парк есть сувенирный магазин и большое кафе.  В парке у озера - палатка с мороженным. Советую попробовать: очень вкусное."
0,авг. 2019 г.,"5,0 из 5 кружков",Попасть не реально,"Очередь за час до открытия была как в Мавзолей при советской власти. Но сам дворец прекрасен , монумент королевы Виктории впечатляет ,развод караула - туристическое шоу .Прекрасный парк с лебедями и утками.Даже если не посвящать день стоянию в очереди - вокруг тоже интересно."
1,авг. 2019 г.,"5,0 из 5 кружков",Прекрасное место,"Дворец располагает к тому, что монархи Англии живут достаточно скромно. Понравилась дворцовая площадь и Парк который рядом через дорогу . Много туристов, большие очереди, которые очень быстро ""идут"" Рекомендую. "
2,авг. 2019 г. • Семейный отдых,"5,0 из 5 кружков",Комнаты королевы и развод караула у Букенгемского дворца,"Красиво и уютно внутри, аудиогид все подробно рассказывает. Внутри нельзя есть и пить, придти лучше заранее,так как досмотр вещей на входе.но все спокойно. Если вы с чемоданом ручной клади,его можно тут оставить на время экскурсии. После экскурсии в саду кафе, туалеты, магазин сувениров. Всюду вайфай.билеты брали на сайте . Развод караула пришли смотреть в воскресенье.уже в 10 утра были толпы,а начало в 11... Не очень понятно,пока,что увидим. Смотрим вот и пишем этот отзыв!"
3,авг. 2019 г. • Семейный отдых,"5,0 из 5 кружков",Роскошный дворец!,"С удовольствием провели время во дворце! Билеты забронировал на официальном сайте на 10:00. Туристов много, но толкучки нет. Был забронирован индивидуальный гид, однако возникли проблемы и он не подъехал, поэтому взяли аудиогид и не пожалели, рассказ интересный и все по делу. Детям 11 и 6 лет тоже понравилось. Интерьеры, парк, история дворца, а особенно то, что он действующий - это завораживает! Однозначно рекомендую! “Must see”"
4,июнь 2019 г. • Путешествие в одиночку,"4,0 из 5 кружков",Смена караула не впечатлила,"Без сомнения увидеть Букингемский дворец своими глазами стоит. Планировала расписание специально, чтобы посмотреть на смену караула. Должна предупредить, что действие оказалось очень затянутым. Особенно для тех кому не хватило места у ограждения дворца. По большей части народ просто стоял по 15-20 минут в ожидании прохода войск. Поэтому потратить время на смену караула стоит разве что за возможность увидеть настоящую королевскую гвардию)))Сам дворец посещать не стала, так как не было достаточно времени."
5,июль 2019 г. • С друзьями,"5,0 из 5 кружков",Ничего не увидели,"Просмотрели развод караула, который приходится на пн ср пт вс. Опять таки толпы туристов. Во дворец не пускали. Периодически караул разминался. Королева была в резиденции. "
6,май 2019 г. • Путешествие в одиночку,"5,0 из 5 кружков",Выставка рисунков Леонардо да Винчи,"В это лето в Лондоне в Галерее Королевы проходит выставка рисунков Леонардо да Винчи.Десятки рисунков из разных коллекций демонстрируют бесконечные интересы великого гения Возрождения.Ландшафтный дизайн,медицина и анатомия,картография,садоводство,военное дело,живопись-вот неполный список его увлечений! А портреты!!! Это просто фантастика!!!!"
7,апр. 2019 г. • Семейный отдых,"5,0 из 5 кружков",Букингемский дворец и окрестности,"Великолепие дворца впечатляет. Всячески рекомендую прогулку от Букингемского дворца к Парламенту а потом к Трафальгарской площади. Прогулка займет около 2 часов, но для любителей фотосессий -будет продуктивной. Очень много прекрасных уголков по пути могут быть использованы для пополнения вашего фотоальбома В данный момент Биг Бэн находится на ремонте и все в лесах, поэтому фотографии не выйдут. Завтра то есть 20 апреля будет Пасхальное представление на Трафальгарской площади. Я не стану размещать много фотографий-наслаждайтесь сами своим виденеием!"
8,окт. 2018 г. • С друзьями,"5,0 из 5 кружков",Букингемский дворец,"Супер памятник старины. Гренадёры в мохнатых шапках, позолота на воротах и 30-сантиметровые шипы на заборе по периметру. Если на флагштоке поднят флаг - значит королева во дворце и ворота закрыты. Если нет, можно побывать во дворе."
9,авг. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",Прогулка.,"С интересом посетил этот символ британской столицы.Весьма гуманный ценник,есть аудиогид на русском.Экскурсия довольно длительная(около двух часов),надо иметь ввиду."
